Nro;Tipo Doc;Tipo Compra;RUT Proveedor;Razon Social;Folio;Fecha Docto;Fecha Recepcion;Fecha Acuse;Monto Exento;Monto Neto;Monto IVA Recuperable;Monto Iva No Recuperable;Codigo IVA No Rec.;Monto Total;Monto Neto Activo Fijo;IVA Activo Fijo;IVA uso Comun;Impto. Sin Derecho a Credito;IVA No Retenido;Tabacos Puros;Tabacos Cigarrillos;Tabacos Elaborados;NCE o NDE sobre Fact. de Compra;Codigo Otro Impuesto;Valor Otro Impuesto;Tasa Otro Impuesto
33;33;Del Giro;77215640-5;ADMINISTRADORA DE VENTAS AL DETALLE LTDA;23903700;15/07/2026;15/07/2026 20:17:05;;0;20336;3864;;;24200;;;;;0;;;;0;;;;
34;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94139;16/07/2026;16/07/2026 09:01:09;;0;35108;6670;;;46577;;;;;0;;;;0;28;4799;0;
35;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61669;16/07/2026;16/07/2026 10:54:26;;0;202586;38491;;;250000;;;;;0;;;;0;28;8923;0;
36;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61670;16/07/2026;16/07/2026 10:57:12;;0;26050;4950;;;31000;;;;;0;;;;0;;;;
37;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61682;16/07/2026;16/07/2026 16:37:56;;0;18669;3547;;;30000;;;;7784;0;;;;0;35;7784;0;
38;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94173;17/07/2026;17/07/2026 08:28:14;;0;184859;35123;;;228405;;;;;0;;;;0;28;8423;0;
39;33;Del Giro;76381570-6;INTERFACTOR  S.A;9916;15/07/2026;17/07/2026 09:15:52;;0;2937557;558136;;;3495693;;;;;0;;;;0;;;;
40;33;Del Giro;78182565-4;COMERCIALIZADORA MUSANTE SPA;16826;17/07/2026;17/07/2026 18:00:36;;0;78499;14915;;;124561;;;;31147;0;;;;0;35;31147;0;
41;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94220;18/07/2026;18/07/2026 10:01:08;;0;38840;7380;;;47990;;;;;0;;;;0;28;1770;0;
42;33;Del Giro;78310381-8;LUBRITAL DIAZ SPA;604;18/07/2026;18/07/2026 10:41:38;;0;173488;32963;;;206451;;;;;0;;;;0;;;;
43;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94264;19/07/2026;19/07/2026 14:19:08;;0;436638;82961;;;539495;;;;;0;;;;0;28;19896;0;
44;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61788;20/07/2026;20/07/2026 19:15:01;;0;202586;38491;;;250000;;;;;0;;;;0;28;8923;0;
45;33;Del Giro;77385138-7;SIVORI COMBUSTIBLES SPA;94357;21/07/2026;21/07/2026 12:19:19;;0;45082;8566;;;72271;;;;18623;0;;;;0;35;18623;0;
46;33;Del Giro;77263238-K;OPERACION EN RUTA SPA;61849;22/07/2026;22/07/2026 15:00:30;;0;15557;2956;;;25000;;;;6487;0;;;;0;35;6487;0;
47;33;Del Giro;76099850-8;COM E INVERSIONES BORQUEZ HULSE LTDA;755746;23/07/2026;23/07/2026 08:23:35;;0;26410;5018;;;40000;;;;8572;0;;;;0;35;8572;0;
